CompanyName,CEO,WorkPhone,AnnualRevenue
DataSys Inc,Mary Garcia,1-313-638-6558,₹1336300000
NexusCore Ltd,Joseph Garcia,1-822-905-2885,₹3602200000
RetailGiant Corp,Joseph Miller,1-486-536-8146,₹2946500000
DataSys Ltd,Karen Smith,1-557-530-7279,₹2307400000
AutoMotive Inc,Susan Davis,1-496-478-4585,₹1859200000
FinanceHub Inc,Thomas Musk,1-277-843-7021,₹1460800000
EduGlobal ,Linda Williams,1-382-748-4865,₹3909300000
EcoGreen ,Susan Anderson,1-886-674-3825,₹2232700000
FinanceHub LLC,Elon Dimon,1-702-563-9447,₹821700000
FinTech Ltd,David Smith,1-982-395-9974,₹3535800000
NexusCore Inc,John Dimon,1-534-865-5873,₹3735000000
CloudNet ,Susan Davis,1-452-894-6337,₹4141700000
AutoMotive ,William Miller,1-990-551-3324,₹954500000
CloudNet ,Charles Davis,1-775-218-3681,₹1784500000
AeroSpace ,David Dimon,1-580-905-3329,₹1435900000
CloudNet Ltd,Tim Anderson,1-868-831-8990,₹2996300000
FinanceHub Corp,Mary Wilson,1-351-873-7482,₹3917600000
FinTech LLC,Tim Hernandez,1-995-435-8410,₹2664300000
QuantumNet Ltd,Thomas Miller,1-355-998-7961,₹1660000000
FinTech LLC,James Cook,1-710-916-5014,₹946200000
AeroSpace LLC,Jamie Jackson,1-228-695-7981,₹1477400000
FinTech ,Jessica Smith,1-474-398-7765,₹1303100000
EcoGreen Ltd,Sarah Anderson,1-383-540-6940,₹4050400000
EduGlobal ,Joseph Cook,1-727-667-5135,₹415000000
CyberShield ,David Jackson,1-588-860-4139,₹1859200000
FinanceHub Ltd,Patricia Johnson,1-920-210-4180,₹1029200000
EcoGreen ,Patricia Williams,1-590-601-8660,₹1709800000
EduGlobal ,Mary Hernandez,1-942-555-5107,₹4042100000
RetailGiant ,John Hernandez,1-633-758-1826,₹722100000
CyberShield ,Robert Wilson,1-753-267-9301,₹2481700000
AeroSpace Corp,Elizabeth Anderson,1-413-421-9062,₹3087600000
RetailGiant Inc,Joseph Smith,1-404-541-2715,₹1626800000
