TicketID,CustomerEmail,IssueDescription,AssignedTo
TCK-16,james.taylor161@global.net,Data_291,Data_776
TCK-92,joseph.martin568@startup.io,Data_371,Data_633
TCK-68,joseph.miller987@example.com,Data_137,Data_181
TCK-10,linda.martin414@business.org,Data_905,Data_851
TCK-40,susan.anderson540@global.net,Data_262,Data_614
TCK-11,sarah.miller861@business.org,Data_881,Data_977
TCK-37,linda.davis926@startup.io,Data_785,Data_529
TCK-91,sarah.thomas140@enterprise.com,Data_987,Data_193
TCK-33,robert.bezos498@enterprise.com,Data_984,Data_892
TCK-41,richard.bezos85@example.com,Data_554,Data_472
TCK-35,karen.thomas944@example.com,Data_563,Data_936
TCK-98,mary.davis587@business.org,Data_780,Data_831
TCK-54,michael.jackson365@tech.co,Data_342,Data_362
TCK-95,jamie.garcia640@startup.io,Data_559,Data_254
TCK-52,david.miller51@tech.co,Data_264,Data_861
TCK-20,michael.moore865@enterprise.com,Data_455,Data_243
TCK-43,tim.miller108@global.net,Data_245,Data_233
TCK-39,joseph.lopez911@company.net,Data_653,Data_529
TCK-34,john.cook2@company.net,Data_246,Data_267
TCK-26,tim.johnson660@enterprise.com,Data_454,Data_704
TCK-2,john.thomas102@global.net,Data_796,Data_637
TCK-71,barbara.jones420@business.org,Data_197,Data_664
TCK-53,michael.smith663@tech.co,Data_944,Data_489
TCK-3,karen.brown200@startup.io,Data_729,Data_897
TCK-1,michael.wilson919@global.net,Data_170,Data_650
TCK-49,karen.johnson461@global.net,Data_582,Data_259
TCK-28,michael.musk447@startup.io,Data_332,Data_827
TCK-29,joseph.hernandez623@global.net,Data_981,Data_606
TCK-72,tim.musk582@global.net,Data_788,Data_366
TCK-64,jeff.dimon507@startup.io,Data_347,Data_620
TCK-57,michael.musk105@business.org,Data_261,Data_839
TCK-42,joseph.davis579@startup.io,Data_329,Data_351
TCK-50,richard.smith119@enterprise.com,Data_375,Data_521
TCK-80,richard.jones449@enterprise.com,Data_683,Data_689
TCK-100,joseph.taylor168@business.org,Data_792,Data_771
TCK-96,tim.musk846@startup.io,Data_387,Data_150
TCK-59,thomas.anderson872@example.com,Data_743,Data_878
TCK-88,tim.lopez141@enterprise.com,Data_139,Data_245
TCK-46,joseph.davis75@enterprise.com,Data_338,Data_114
TCK-86,thomas.hernandez743@company.net,Data_806,Data_498
TCK-69,william.taylor969@tech.co,Data_321,Data_915
TCK-27,jessica.jones985@business.org,Data_929,Data_622
TCK-82,karen.jackson78@startup.io,Data_276,Data_324
TCK-85,elon.jackson139@example.com,Data_263,Data_840
TCK-8,elizabeth.rodriguez97@example.com,Data_341,Data_873
