CompanyName,CEO,WorkPhone,AnnualRevenue
TechCorp,Elon Musk,XXX-XX-0199,$50000000
HealthPlus,Tim Cook,XXX-XX-0288,$25000000
FinanceHub,Jamie Dimon,XXX-XX-0377,$100000000
RetailGiant,Jeff Bezos,XXX-XX-0466,$75000000
TechCorp_4,Elon Musk_4,1-800-555-0199_4,$50000004
HealthPlus_5,Tim Cook_5,1-888-555-0288_5,$25000005
FinanceHub_6,Jamie Dimon_6,1-877-555-0377_6,$10000006
RetailGiant_7,Jeff Bezos_7,1-866-555-0466_7,$75000007
TechCorp_8,Elon Musk_8,1-800-555-0199_8,$50000008
HealthPlus_9,Tim Cook_9,1-888-555-0288_9,$25000009
FinanceHub_10,Jamie Dimon_10,1-877-555-0377_10,$100000010
RetailGiant_11,Jeff Bezos_11,1-866-555-0466_11,$75000011
TechCorp_12,Elon Musk_12,1-800-555-0199_12,$50000012
HealthPlus_13,Tim Cook_13,1-888-555-0288_13,$25000013
FinanceHub_14,Jamie Dimon_14,1-877-555-0377_14,$100000014
RetailGiant_15,Jeff Bezos_15,1-866-555-0466_15,$75000015
TechCorp_16,Elon Musk_16,1-800-555-0199_16,$50000016
HealthPlus_17,Tim Cook_17,1-888-555-0288_17,$25000017
FinanceHub_18,Jamie Dimon_18,1-877-555-0377_18,$100000018
RetailGiant_19,Jeff Bezos_19,1-866-555-0466_19,$75000019
TechCorp_20,Elon Musk_20,1-800-555-0199_20,$50000020
HealthPlus_21,Tim Cook_21,1-888-555-0288_21,$25000021
FinanceHub_22,Jamie Dimon_22,1-877-555-0377_22,$100000022
RetailGiant_23,Jeff Bezos_23,1-866-555-0466_23,$75000023
TechCorp_24,Elon Musk_24,1-800-555-0199_24,$50000024
HealthPlus_25,Tim Cook_25,1-888-555-0288_25,$25000025
FinanceHub_26,Jamie Dimon_26,1-877-555-0377_26,$100000026
RetailGiant_27,Jeff Bezos_27,1-866-555-0466_27,$75000027
TechCorp_28,Elon Musk_28,1-800-555-0199_28,$50000028
HealthPlus_29,Tim Cook_29,1-888-555-0288_29,$25000029
FinanceHub_30,Jamie Dimon_30,1-877-555-0377_30,$100000030
RetailGiant_31,Jeff Bezos_31,1-866-555-0466_31,$75000031
TechCorp_32,Elon Musk_32,1-800-555-0199_32,$50000032
HealthPlus_33,Tim Cook_33,1-888-555-0288_33,$25000033
FinanceHub_34,Jamie Dimon_34,1-877-555-0377_34,$100000034
RetailGiant_35,Jeff Bezos_35,1-866-555-0466_35,$75000035
TechCorp_36,Elon Musk_36,1-800-555-0199_36,$50000036
HealthPlus_37,Tim Cook_37,1-888-555-0288_37,$25000037
FinanceHub_38,Jamie Dimon_38,1-877-555-0377_38,$100000038
RetailGiant_39,Jeff Bezos_39,1-866-555-0466_39,$75000039
TechCorp_40,Elon Musk_40,1-800-555-0199_40,$50000040
HealthPlus_41,Tim Cook_41,1-888-555-0288_41,$25000041
FinanceHub_42,Jamie Dimon_42,1-877-555-0377_42,$100000042
RetailGiant_43,Jeff Bezos_43,1-866-555-0466_43,$75000043
TechCorp_44,Elon Musk_44,1-800-555-0199_44,$50000044
HealthPlus_45,Tim Cook_45,1-888-555-0288_45,$25000045
FinanceHub_46,Jamie Dimon_46,1-877-555-0377_46,$100000046
RetailGiant_47,Jeff Bezos_47,1-866-555-0466_47,$75000047
TechCorp_48,Elon Musk_48,1-800-555-0199_48,$50000048
HealthPlus_49,Tim Cook_49,1-888-555-0288_49,$25000049
FinanceHub_50,Jamie Dimon_50,1-877-555-0377_50,$100000050
RetailGiant_51,Jeff Bezos_51,1-866-555-0466_51,$75000051
TechCorp_52,Elon Musk_52,1-800-555-0199_52,$50000052
HealthPlus_53,Tim Cook_53,1-888-555-0288_53,$25000053
FinanceHub_54,Jamie Dimon_54,1-877-555-0377_54,$100000054
RetailGiant_55,Jeff Bezos_55,1-866-555-0466_55,$75000055
TechCorp_56,Elon Musk_56,1-800-555-0199_56,$50000056
HealthPlus_57,Tim Cook_57,1-888-555-0288_57,$25000057
