OrderID,CustomerIP,CreditCard,PurchaseAmount,Gateway
,Data_236,Data_688,6275.81,Data_447
,Data_126,Data_383,1550.22,Data_646
,Data_860,Data_602,11266.33,Data_258
,Data_989,Data_927,3601.98,Data_659
,Data_837,Data_601,56984.17,Data_603
,Data_602,Data_719,5705.73,Data_427
,Data_714,Data_746,7644.36,Data_208
,Data_472,Data_410,3825.79,Data_120
,Data_845,Data_950,56179.79,Data_763
,Data_914,Data_153,2332.35,Data_487
,Data_331,Data_242,72401.54,Data_196
,Data_785,Data_260,6990.73,Data_290
,Data_154,Data_288,3453.88,Data_810
,Data_637,Data_782,95761.02,Data_989
,Data_939,Data_299,5711.57,Data_434
,Data_909,Data_575,6963.62,Data_385
,Data_165,Data_163,67130.17,Data_607
,Data_361,Data_362,56716.08,Data_508
,Data_946,Data_886,4691.56,Data_577
,Data_463,Data_363,109778.81,Data_743
,Data_185,Data_532,5315.72,Data_869
,Data_219,Data_977,2218.58,Data_390
,Data_739,Data_799,54751.32,Data_485
,Data_321,Data_955,12131.59,Data_756
,Data_363,Data_931,85690.87,Data_787
,Data_229,Data_932,46650.22,Data_721
,Data_266,Data_309,4643.58,Data_985
,Data_784,Data_869,6530.34,Data_667
,Data_425,Data_691,8609.55,Data_502
,Data_903,Data_769,110024.93,Data_832
,Data_452,Data_443,90479.36,Data_303
,Data_873,Data_887,37963.43,Data_562
,Data_165,Data_503,100556.63,Data_197
,Data_379,Data_876,87543.07,Data_403
,Data_836,Data_552,6127.24,Data_216
,Data_653,Data_394,28450.38,Data_479
,Data_517,Data_259,4650.52,Data_838
,Data_218,Data_387,84239.36,Data_139
,Data_721,Data_306,43116.66,Data_624
,Data_615,Data_836,83051.72,Data_416
,Data_981,Data_767,104073.36,Data_375
,Data_125,Data_589,3869.5,Data_548
,Data_154,Data_602,33363.07,Data_774
,Data_513,Data_468,11059.07,Data_337
,Data_559,Data_726,2066.91,Data_260
,Data_740,Data_256,26149.27,Data_307
,Data_407,Data_326,3912.95,Data_763
,Data_187,Data_272,1203.6,Data_148
,Data_145,Data_436,25575.82,Data_212
,Data_693,Data_638,26000.96,Data_528
,Data_610,Data_288,3315.73,Data_667
,Data_313,Data_269,4713.22,Data_713
,Data_929,Data_743,1673.47,Data_785
,Data_818,Data_139,8927.6,Data_711
,Data_179,Data_284,43658.39,Data_744
,Data_729,Data_782,97551.48,Data_133
,Data_722,Data_839,4306.77,Data_413
,Data_422,Data_714,4783.32,Data_398
,Data_433,Data_529,122471.2,Data_482
,Data_461,Data_845,2848.85,Data_191
,Data_266,Data_445,5884.38,Data_969
,Data_488,Data_123,50342.59,Data_416
,Data_453,Data_488,2462.52,Data_744
,Data_588,Data_460,3832.65,Data_851
,Data_350,Data_309,48691.35,Data_223
,Data_132,Data_198,2259.33,Data_653
,Data_439,Data_741,38223.29,Data_419
,Data_362,Data_426,33082.65,Data_652
,Data_559,Data_394,48346.8,Data_153
,Data_473,Data_408,5188.18,Data_879
,Data_962,Data_487,3764.08,Data_885
,Data_183,Data_433,60734.37,Data_687
,Data_893,Data_152,9974.35,Data_371
,Data_446,Data_932,89259.11,Data_648
,Data_834,Data_765,5182.38,Data_652
,Data_362,Data_122,3381.95,Data_780
,Data_971,Data_849,3756.82,Data_597
,Data_597,Data_728,4667.86,Data_902
,Data_658,Data_918,8758.42,Data_734
,Data_813,Data_877,5513.5,Data_308
,Data_852,Data_133,3451.95,Data_219
,Data_611,Data_226,5332.36,Data_595
,Data_274,Data_248,39157.27,Data_395
,Data_183,Data_947,4145.82,Data_444
,Data_148,Data_539,74038.27,Data_132
,Data_871,Data_623,41383.69,Data_679
,Data_450,Data_614,36876.81,Data_859
,Data_568,Data_976,41801.69,Data_212
,Data_178,Data_443,10116.37,Data_857
,Data_971,Data_261,10955.69,Data_448
,Data_714,Data_624,74710.47,Data_161
,Data_614,Data_507,4310.86,Data_610
,Data_507,Data_162,8941.14,Data_382
,Data_402,Data_268,2989.37,Data_675
,Data_750,Data_776,4418.96,Data_431
,Data_538,Data_949,8409.99,Data_304
,Data_401,Data_967,2380.31,Data_523
,Data_670,Data_427,2216.4,Data_978
,Data_745,Data_812,3814.25,Data_748
,Data_813,Data_336,4940.64,Data_100
