CompanyName,CEO,WorkPhone,AnnualRevenue
REDACTED Ltd,James Davis,1-589-490-9116,₹1759600000
REDACTED Corp,Richard Johnson,1-453-828-1107,₹2846900000
REDACTED Ltd,John Bezos,1-821-515-1979,₹3826300000
REDACTED Corp,Elizabeth Garcia,1-939-434-6001,₹3120800000
REDACTED Inc,Mary Martin,1-239-455-4879,₹473100000
REDACTED Corp,Susan Jackson,1-431-432-3720,₹2938200000
REDACTED ,James Dimon,1-281-473-4691,₹2050100000
REDACTED LLC,James Lopez,1-856-538-3294,₹2456800000
REDACTED Inc,Jessica Lopez,1-277-638-7206,₹1394400000
REDACTED Corp,Elizabeth Garcia,1-813-302-3914,₹2099900000
REDACTED Corp,Michael Smith,1-248-818-5682,₹1560400000
REDACTED ,John Smith,1-962-739-9806,₹871500000
REDACTED Ltd,Jeff Thomas,1-770-657-7317,₹2664300000
REDACTED LLC,Jessica Dimon,1-683-754-3125,₹1651700000
REDACTED Ltd,Jeff Wilson,1-699-704-3491,₹3095900000
REDACTED Inc,Richard Dimon,1-319-372-4260,₹1427600000
REDACTED Corp,David Smith,1-388-593-8935,₹3984000000
REDACTED Corp,Jeff Miller,1-596-912-9688,₹2307400000
REDACTED Corp,Tim Brown,1-535-212-1690,₹439900000
REDACTED ,James Hernandez,1-518-350-8885,₹547800000
REDACTED Inc,David Davis,1-272-343-4530,₹3237000000
REDACTED Corp,Jeff Johnson,1-954-575-8335,₹1784500000
REDACTED Inc,Karen Miller,1-979-536-9963,₹3361500000
REDACTED LLC,Susan Gonzalez,1-353-486-9280,₹1012600000
REDACTED Inc,Susan Dimon,1-895-829-1448,₹3552400000
REDACTED ,Robert Bezos,1-230-491-5777,₹1079000000
REDACTED LLC,John Jones,1-682-540-3588,₹2116500000
REDACTED Corp,Charles Gonzalez,1-864-663-4946,₹572700000
REDACTED Ltd,Joseph Brown,1-799-630-1635,₹1767900000
REDACTED ,Patricia Jackson,1-510-394-9626,₹1892400000
REDACTED Corp,Charles Davis,1-452-647-3176,₹830000000
REDACTED ,Thomas Jackson,1-675-859-1144,₹3693500000
REDACTED Ltd,Joseph Dimon,1-473-999-5681,₹780200000
REDACTED LLC,Linda Smith,1-810-685-6648,₹464800000
REDACTED LLC,Mary Martin,1-827-395-9933,₹3809700000
REDACTED ,Barbara Garcia,1-399-753-7571,₹2855200000
REDACTED ,Jessica Moore,1-242-229-7266,₹1975400000
REDACTED Corp,John Brown,1-669-885-1135,₹2382100000
REDACTED Inc,David Thomas,1-878-895-3843,₹2631100000
REDACTED ,Karen Williams,1-233-276-9623,₹3012900000
REDACTED Ltd,Karen Thomas,1-691-553-8527,₹3768200000
REDACTED LLC,Jeff Bezos,1-876-441-5272,₹929600000
REDACTED Ltd,Linda Thomas,1-972-855-4733,₹2573000000
REDACTED Ltd,Elizabeth Jackson,1-215-927-5724,₹2108200000
REDACTED Corp,Mary Miller,1-900-975-6238,₹3701800000
REDACTED Ltd,Jeff Anderson,1-591-274-8386,₹830000000
REDACTED Ltd,Thomas Jones,1-449-915-7203,₹1709800000
REDACTED Inc,Karen Jackson,1-946-624-2689,₹3967400000
REDACTED Inc,Elon Taylor,1-898-319-6545,₹3253600000
REDACTED Inc,Tim Smith,1-284-976-8101,₹3129100000
REDACTED ,Joseph Musk,1-873-444-4524,₹2407000000
REDACTED LLC,Susan Smith,1-398-622-5693,₹796800000
REDACTED LLC,Elon Dimon,1-389-473-2065,₹1494000000
REDACTED Ltd,Susan Johnson,1-964-360-3986,₹2739000000
REDACTED ,Mary Smith,1-367-499-9942,₹2863500000
REDACTED Inc,David Martin,1-820-217-8583,₹2672600000
REDACTED LLC,Joseph Brown,1-206-989-5640,₹514600000
REDACTED Corp,Jeff Gonzalez,1-934-521-5336,₹2631100000
REDACTED Ltd,Jessica Brown,1-612-384-8877,₹1743000000
REDACTED ,Jamie Jackson,1-526-659-5036,₹929600000
REDACTED ,Mary Hernandez,1-700-354-9013,₹2689200000
REDACTED Inc,Jessica Lopez,1-555-286-3043,₹2656000000
REDACTED LLC,Richard Johnson,1-613-439-8915,₹2822000000
REDACTED Inc,Patricia Cook,1-499-413-6799,₹3876100000
REDACTED Corp,Tim Bezos,1-811-278-7422,₹3925900000
REDACTED ,John Martin,1-925-966-7274,₹531200000
REDACTED ,Patricia Musk,1-443-704-8256,₹788500000
REDACTED ,Jennifer Gonzalez,1-386-369-1378,₹2382100000
REDACTED LLC,Susan Bezos,1-512-584-7753,₹3851200000
REDACTED ,Thomas Wilson,1-363-946-9236,₹1776200000
REDACTED ,Susan Miller,1-468-801-7546,₹1626800000
REDACTED ,Elizabeth Miller,1-730-659-5821,₹3278500000
REDACTED Ltd,James Bezos,1-454-345-5340,₹3768200000
REDACTED Inc,John Martinez,1-867-240-3115,₹2398700000
REDACTED Inc,Thomas Dimon,1-642-833-9526,₹2780500000
REDACTED ,James Dimon,1-516-502-7284,₹2805400000
REDACTED LLC,John Hernandez,1-405-706-4732,₹3917600000
REDACTED LLC,Elon Brown,1-490-356-2687,₹1211800000
REDACTED Corp,Jennifer Moore,1-772-833-8255,₹2772200000
REDACTED Corp,Barbara Cook,1-969-524-1828,₹473100000
REDACTED LLC,Jeff Moore,1-493-262-6694,₹2390400000
REDACTED ,Linda Brown,1-436-868-8965,₹1186900000
REDACTED ,Elizabeth Rodriguez,1-964-400-2761,₹614200000
REDACTED ,Thomas Jones,1-904-929-7931,₹2863500000
REDACTED Corp,Thomas Johnson,1-744-429-2637,₹3975700000
REDACTED Corp,Michael Wilson,1-841-837-5420,₹2290800000
REDACTED LLC,Mary Rodriguez,1-850-887-8252,₹2033500000
REDACTED Corp,Jessica Martinez,1-985-534-1161,₹2647700000
REDACTED Corp,Barbara Cook,1-508-794-4687,₹3004600000
REDACTED LLC,Elizabeth Taylor,1-866-262-3889,₹3427900000
