CompanyName,CEO,WorkPhone,AnnualRevenue
HealthPlus Ltd,James Davis,XXX-XX-9116,₹1759600000
NexusCore Corp,Richard Johnson,XXX-XX-1107,₹2846900000
BioGen Ltd,John Bezos,XXX-XX-1979,₹3826300000
AeroSpace Corp,Elizabeth Garcia,XXX-XX-6001,₹3120800000
DataSys Inc,Mary Martin,XXX-XX-4879,₹473100000
FinTech Corp,Susan Jackson,XXX-XX-3720,₹2938200000
EcoGreen ,James Dimon,XXX-XX-4691,₹2050100000
EduGlobal LLC,James Lopez,XXX-XX-3294,₹2456800000
NexusCore Inc,Jessica Lopez,XXX-XX-7206,₹1394400000
RetailGiant Corp,Elizabeth Garcia,XXX-XX-3914,₹2099900000
RetailGiant Corp,Michael Smith,XXX-XX-5682,₹1560400000
AutoMotive ,John Smith,XXX-XX-9806,₹871500000
EcoGreen Ltd,Jeff Thomas,XXX-XX-7317,₹2664300000
EcoGreen LLC,Jessica Dimon,XXX-XX-3125,₹1651700000
FinanceHub Ltd,Jeff Wilson,XXX-XX-3491,₹3095900000
AutoMotive Inc,Richard Dimon,XXX-XX-4260,₹1427600000
FinanceHub Corp,David Smith,XXX-XX-8935,₹3984000000
CyberShield Corp,Jeff Miller,XXX-XX-9688,₹2307400000
CloudNet Corp,Tim Brown,XXX-XX-1690,₹439900000
TechCorp ,James Hernandez,XXX-XX-8885,₹547800000
FinanceHub Inc,David Davis,XXX-XX-4530,₹3237000000
EduGlobal Corp,Jeff Johnson,XXX-XX-8335,₹1784500000
FinTech Inc,Karen Miller,XXX-XX-9963,₹3361500000
NexusCore LLC,Susan Gonzalez,XXX-XX-9280,₹1012600000
EcoGreen Inc,Susan Dimon,XXX-XX-1448,₹3552400000
AeroSpace ,Robert Bezos,XXX-XX-5777,₹1079000000
CloudNet LLC,John Jones,XXX-XX-3588,₹2116500000
BioGen Corp,Charles Gonzalez,XXX-XX-4946,₹572700000
QuantumNet Ltd,Joseph Brown,XXX-XX-1635,₹1767900000
AeroSpace ,Patricia Jackson,XXX-XX-9626,₹1892400000
EcoGreen Corp,Charles Davis,XXX-XX-3176,₹830000000
FinTech ,Thomas Jackson,XXX-XX-1144,₹3693500000
CloudNet Ltd,Joseph Dimon,XXX-XX-5681,₹780200000
FinanceHub LLC,Linda Smith,XXX-XX-6648,₹464800000
DataSys LLC,Mary Martin,XXX-XX-9933,₹3809700000
BioGen ,Barbara Garcia,XXX-XX-7571,₹2855200000
