ID,Name,Email,Phone,SSN,Transaction_Amount
201,Customer_201,example.com,(555) 799-9653,935-75-6130,$1685.66
202,Customer_202,example.com,(555) 981-1485,403-15-6096,$3136.36
203,Customer_203,example.com,(555) 249-4710,260-59-2868,$3646.94
204,Customer_204,example.com,(555) 644-7256,266-58-9912,$799.16
205,Customer_205,example.com,(555) 172-7417,199-55-6964,$377.65
206,Customer_206,example.com,(555) 450-9131,914-31-4914,$3725.46
207,Customer_207,example.com,(555) 346-5014,231-12-8196,$1742.24
208,Customer_208,example.com,(555) 305-9071,471-97-7711,$30.56
209,Customer_209,example.com,(555) 354-9654,174-31-5812,$1223.8
210,Customer_210,example.com,(555) 898-1600,850-25-7600,$2842.68
211,Customer_211,example.com,(555) 446-9518,988-57-3764,$3660.73
212,Customer_212,example.com,(555) 441-9477,115-54-1678,$3980.14
213,Customer_213,example.com,(555) 766-5420,952-18-9363,$569.05
214,Customer_214,example.com,(555) 746-7820,872-28-9884,$1545.7
215,Customer_215,example.com,(555) 490-4742,695-60-3228,$661.82
216,Customer_216,example.com,(555) 191-1171,807-42-8035,$3929.97
217,Customer_217,example.com,(555) 165-9570,316-21-8533,$1581.21
218,Customer_218,example.com,(555) 257-6009,133-38-2241,$3092.13
219,Customer_219,example.com,(555) 199-7341,484-64-6739,$3703.94
220,Customer_220,example.com,(555) 991-7094,858-47-5727,$1979.5
221,Customer_221,example.com,(555) 335-5080,629-59-1356,$4868.62
222,Customer_222,example.com,(555) 976-7769,323-92-5887,$2039.24
223,Customer_223,example.com,(555) 892-7872,208-64-5721,$2356.0
224,Customer_224,example.com,(555) 477-7819,156-51-1250,$2848.08
225,Customer_225,example.com,(555) 274-5207,936-97-8936,$35.07
226,Customer_226,example.com,(555) 213-8774,544-74-7522,$3228.07
227,Customer_227,example.com,(555) 892-1137,775-21-7216,$727.29
228,Customer_228,example.com,(555) 548-3349,151-82-4902,$2461.53
229,Customer_229,example.com,(555) 247-6774,958-23-7241,$3639.03
230,Customer_230,example.com,(555) 589-5998,376-16-9826,$1857.76
231,Customer_231,example.com,(555) 144-7267,802-59-3419,$3170.43
232,Customer_232,example.com,(555) 258-4409,195-41-9462,$420.22
233,Customer_233,example.com,(555) 633-8186,405-24-4361,$4813.97
234,Customer_234,example.com,(555) 167-7664,517-51-5020,$1438.06
235,Customer_235,example.com,(555) 455-5199,739-73-9673,$1352.22
236,Customer_236,example.com,(555) 825-1477,451-38-1954,$333.37
237,Customer_237,example.com,(555) 805-7658,979-95-6767,$1223.62
238,Customer_238,example.com,(555) 921-5806,798-30-6842,$1544.97
239,Customer_239,example.com,(555) 277-7658,663-83-6921,$2504.49
240,Customer_240,example.com,(555) 232-8789,824-90-7171,$4962.74
241,Customer_241,example.com,(555) 607-3121,643-30-3753,$2630.69
242,Customer_242,example.com,(555) 491-7249,668-49-7306,$2431.57
243,Customer_243,example.com,(555) 264-4418,633-64-1460,$2774.0
244,Customer_244,example.com,(555) 876-9895,375-36-4197,$2067.77
245,Customer_245,example.com,(555) 318-1858,194-49-8477,$468.64
246,Customer_246,example.com,(555) 502-7131,807-54-9380,$4640.19
247,Customer_247,example.com,(555) 449-6929,307-19-1821,$2112.71
248,Customer_248,example.com,(555) 154-2610,311-16-8722,$4909.23
249,Customer_249,example.com,(555) 125-7024,928-75-6003,$4326.18
250,Customer_250,example.com,(555) 998-9605,354-34-7764,$2514.73
251,Customer_251,example.com,(555) 758-7190,427-48-7907,$1680.69
252,Customer_252,example.com,(555) 911-1218,970-34-3803,$2600.68
253,Customer_253,example.com,(555) 841-8340,811-82-5372,$3699.19
254,Customer_254,example.com,(555) 733-1278,805-34-6616,$3335.63
255,Customer_255,example.com,(555) 804-7900,459-95-6514,$4894.56
256,Customer_256,example.com,(555) 900-5037,445-73-6596,$1353.96
257,Customer_257,example.com,(555) 486-9992,949-91-2100,$4342.0
258,Customer_258,example.com,(555) 981-9268,865-40-8312,$3949.29
259,Customer_259,example.com,(555) 718-1873,724-31-8851,$469.95
260,Customer_260,example.com,(555) 702-6546,894-62-2925,$4143.78
261,Customer_261,example.com,(555) 207-6004,461-37-6224,$3782.65
262,Customer_262,example.com,(555) 299-5599,193-89-2056,$4859.95
263,Customer_263,example.com,(555) 526-7012,696-55-8065,$2607.56
264,Customer_264,example.com,(555) 387-7048,481-71-4485,$1959.1
265,Customer_265,example.com,(555) 670-3325,918-90-7161,$1912.5
266,Customer_266,example.com,(555) 955-3274,120-31-7830,$2981.84
267,Customer_267,example.com,(555) 180-2971,222-93-2719,$3820.41
268,Customer_268,example.com,(555) 862-7810,224-12-9620,$2236.44
269,Customer_269,example.com,(555) 914-9844,540-88-8775,$1031.07
270,Customer_270,example.com,(555) 489-9537,286-35-8437,$502.11
271,Customer_271,example.com,(555) 254-3370,350-74-8381,$1177.17
272,Customer_272,example.com,(555) 481-1224,635-98-6349,$4984.28
273,Customer_273,example.com,(555) 195-5640,352-71-1269,$4077.92
274,Customer_274,example.com,(555) 523-2999,328-58-5677,$4650.44
275,Customer_275,example.com,(555) 522-9106,401-16-3168,$4666.99
276,Customer_276,example.com,(555) 754-1338,839-71-5726,$839.68
277,Customer_277,example.com,(555) 494-2767,175-91-6293,$2241.43
278,Customer_278,example.com,(555) 871-5106,467-60-4724,$1112.45
279,Customer_279,example.com,(555) 435-2384,549-87-9551,$3035.07
280,Customer_280,example.com,(555) 160-6605,457-62-1145,$1721.14
281,Customer_281,example.com,(555) 844-7759,410-83-6005,$1438.59
282,Customer_282,example.com,(555) 289-3294,215-13-5710,$3621.83
283,Customer_283,example.com,(555) 313-6794,588-89-8323,$4953.06
284,Customer_284,example.com,(555) 899-5894,127-80-5503,$2349.15
285,Customer_285,example.com,(555) 765-4330,913-62-2896,$3020.01
286,Customer_286,example.com,(555) 855-1591,595-75-3102,$571.72
287,Customer_287,example.com,(555) 560-9205,941-21-5528,$10.36
288,Customer_288,example.com,(555) 747-7501,294-45-9684,$3238.63
289,Customer_289,example.com,(555) 157-2668,140-29-6291,$1369.13
290,Customer_290,example.com,(555) 871-3156,944-95-5165,$2107.34
291,Customer_291,example.com,(555) 580-3253,977-59-1745,$2395.45
292,Customer_292,example.com,(555) 949-9247,691-42-7778,$4693.61
